username,date_of_election,isSuccessful,votes,pages_created,total_edits,article_edits,user_edits,user_talk_edits,file_edits,file_talk_edits,template_edits,template_talk_edits,wikipedia_edits,wikipedia_talk_edits,category_edits,category_talk_edits,draft_edits,draft_talk_edits,talk_edits,gender,days_active,keep_votes,delete_votes,sp_keep_votes,sp_delete_votes,merge_votes,redirect_votes,transwiki_votes,userfy_votes,total_afd_votes,accounts
Bilby,2013-05-25 00:37:00,1,11,64,9732,5706,439,1143,14,0,40,40,1017,164,0,0,0,0,1169,unknown,2252,83,73,0,0,2,2,0,0,160,67
INeverCry,2013-01-31 08:17:00,1,8,125,988,590,38,41,12,0,7,4,43,3,0,0,0,0,250,unknown,1485,5,28,0,0,0,1,0,0,34,129
Jason Quinn,2013-01-25 03:30:00,1,0,295,1433,981,52,86,2,0,42,17,116,34,8,4,0,0,91,unknown,3250,9,26,0,2,2,3,0,0,42,80
Legoktm,2013-05-02 03:26:00,1,37,925,7179,2517,858,2240,17,1,97,21,829,185,72,2,0,0,340,male,2212,8,46,0,2,2,2,1,0,61,700
Lord Roem,2013-01-20 16:05:00,1,30,67,1567,618,83,218,0,0,86,56,244,93,0,0,0,0,169,male,757,38,50,1,0,6,1,1,0,97,24
Miniapolis,2013-02-05 17:04:00,1,22,56,2505,1242,92,199,0,0,6,1,581,53,0,1,0,0,330,female,1749,25,115,0,0,30,11,0,9,190,18
Mkdw,2013-05-08 18:15:00,1,21,133,8691,2703,354,2648,22,0,137,16,1976,195,6,0,10,0,624,unknown,2453,23,44,1,0,0,4,0,0,72,27
Nthep,2013-03-24 03:24:00,1,0,144,4663,2032,210,1471,64,3,44,21,324,105,17,0,1,0,371,male,2452,15,89,1,2,7,4,0,0,118,51
Paulmcdonald,2013-04-30 22:43:00,1,0,2069,7551,4618,229,397,39,15,241,23,833,136,13,12,0,0,995,male,2409,91,97,1,0,3,1,0,0,193,15
RockMagnetist,2013-03-09 17:56:00,1,0,127,3817,1421,191,414,0,0,49,18,501,220,194,27,0,0,782,unknown,928,30,16,0,1,6,2,0,0,55,64
Shirt58,2013-03-06 11:45:00,1,2,774,7627,4296,66,2038,43,1,51,10,423,14,1,0,0,0,684,unknown,2431,11,158,0,0,0,0,0,0,169,85
Tokyogirl79,2013-03-11 08:48:00,1,0,246,5479,3530,50,482,30,0,11,0,1002,13,1,3,7,1,349,unknown,2335,20,71,0,0,4,14,0,0,109,16
West.andrew.g,2013-02-20 18:26:00,1,0,0,43626,1668,39526,1613,2,0,0,0,646,171,0,0,0,0,0,male,1754,0,0,0,0,0,0,0,0,0,33
Ymblanter,2013-03-15 08:04:00,1,17,503,7255,6232,20,285,0,0,8,0,391,154,43,0,0,0,122,unknown,669,5,11,1,0,1,1,0,0,19,144
angelo1345,2013-04-09 12:35:00,0,0,19,149,80,38,6,2,0,7,0,8,0,1,1,0,0,6,unknown,235,0,0,0,0,0,0,0,0,0,19
AppleJack-7,2013-06-03 02:57:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,0,0,0,0,0,0,0,0,0,0,18
Banaticus,2013-02-21 01:25:00,0,1,193,3615,1547,184,1337,8,0,37,22,245,42,5,0,1,0,187,male,2838,2,8,0,0,2,0,0,0,12,75
Binksternet,2013-03-13 04:09:00,0,12,1156,28478,16643,546,6055,105,4,138,159,1263,242,5,2,0,0,3316,male,2056,62,122,1,0,4,4,0,0,193,85
Carrite,2013-02-06 17:10:00,0,80,1354,7710,5544,258,327,115,1,3,0,1100,89,0,0,0,0,273,male,1502,62,97,4,1,4,10,0,0,178,41
DCI2026,2013-02-23 02:17:00,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,89,0,0,0,0,0,0,0,0,0,31
Dirtlawyer1,2013-02-05 01:28:00,0,8,281,8834,7314,0,504,15,3,402,123,178,148,9,0,0,0,138,male,1389,31,113,0,1,15,15,0,1,176,30
Hahc21,2013-02-10 23:44:00,0,3,93,3263,668,452,797,24,2,176,10,763,185,0,0,0,0,186,male,1779,2,5,0,0,0,0,0,0,7,688
Jasper Deng,2013-03-08 01:29:00,0,30,80,7435,2322,391,2716,1,0,14,9,990,138,23,0,0,0,831,unknown,1764,7,73,0,2,7,0,0,0,89,695
KumiokoCleanStart,2013-05-15 08:13:00,0,7,12,14803,487,25,511,0,181,48,355,1316,354,8,2618,0,0,8900,male,51,2,15,0,0,1,0,0,0,18,15
Piotrus,2013-04-24 20:10:00,0,31,9828,50318,27794,1496,5009,219,11,514,700,3262,1711,519,35,0,0,9048,male,3302,10,168,0,1,9,0,0,1,189,77
Pjoef,2013-04-29 14:33:00,0,0,137,19479,10744,1253,860,84,40,166,24,3593,74,31,9,0,0,2601,male,2236,12,0,0,0,0,0,0,0,12,124
Satellizer,2013-02-23 20:59:00,0,0,129,2754,1564,62,864,14,7,33,0,130,24,1,5,0,0,50,male,797,23,72,2,2,5,3,0,2,109,11
Theopolisme,2013-02-23 16:00:00,0,4,309,2794,1316,236,399,0,0,42,1,669,67,11,5,0,0,48,male,717,0,2,0,0,0,0,0,0,2,290
TortoiseWrath,2013-03-07 04:12:00,0,0,6,273,150,33,20,0,0,1,0,27,1,0,0,0,0,41,male,191,1,4,0,0,0,0,0,0,5,59
Vacation9,2013-02-28 18:55:00,0,18,23,3819,1630,246,1335,11,0,14,3,403,40,0,0,0,0,137,male,805,13,78,0,0,9,1,0,0,101,688
